Reference,Item number,Type,Word,Books Count,Books Total Count,Books Frequency per 1000 words,COCA Count,COCA Total Count,COCA Frequency per 1000 words,Movies Count,Movies Total Count,Movies Frequency per 1000 words,CHILDES Count,CHILDES Total Count,CHILDES Frequency per 1000 words,Average Frequency per 1000 Words
Carlisle (2000),76,Target,reduce,0,199877,0.0,148,5536628,0.0267310716920118,0,66112,0.0,2,3826525,0.0005226674332,0.0068134347813029504
Carlisle (2000),77,Input,baker,16,199877,0.0800492302766201,153,5536628,0.0276341484383635,0,66112,0.0,27,3826525,0.007056010349,0.0286848472659959
Carlisle (2000),77,Target,bake,6,199877,0.0300184613537325,266,5536628,0.0480436829059131,0,66112,0.0,86,3826525,0.02247469963,0.0251342109724114
Carlisle (2000),78,Input,division,0,199877,0.0,128,5536628,0.0231187647066048,0,66112,0.0,2,3826525,0.0005226674332,0.0059103580349512
Carlisle (2000),78,Target,divide,0,199877,0.0,86,5536628,0.0155329200372501,0,66112,0.0,4,3826525,0.001045334866,0.004144563725812525
Carlisle (2000),79,Input,guidance,0,199877,0.0,78,5536628,0.0140879972430873,1,66112,0.0151258470474346,0,3826525,0.0,0.007303461072630475
Carlisle (2000),79,Target,guide,1,199877,0.0050030768922887,397,5536628,0.0717042936603289,2,66112,0.0302516940948693,12,3826525,0.003136004599,0.027523767311621726
Carlisle (2000),80,Input,continuous,0,199877,0.0,31,5536628,0.0055990758273808,0,66112,0.0,2,3826525,0.0005226674332,0.0015304358151452002
Carlisle (2000),80,Target,continue,0,199877,0.0,391,5536628,0.0706206015647069,4,66112,0.0605033881897386,21,3826525,0.005488008049,0.03415299945086137
Carlisle (2000),81,Input,reliable,1,199877,0.0050030768922887,53,5536628,0.0095726135113285,4,66112,0.0605033881897386,0,3826525,0.0,0.01876976964833895
Carlisle (2000),81,Target,rely,0,199877,0.0,68,5536628,0.0122818437503838,1,66112,0.0151258470474346,2,3826525,0.0005226674332,0.0069825895577546
Carlisle (2000),82,Input,acceptance,0,199877,0.0,40,5536628,0.007224613970814,0,66112,0.0,0,3826525,0.0,0.0018061534927035
Carlisle (2000),82,Target,accept,3,199877,0.0150092306768662,254,5536628,0.0458762987146689,14,66112,0.2117618586640851,5,3826525,0.001306668583,0.06848851415965504
Kieffer & Lesaux (2008),85,Input,growth,0,199877,0.0,192,5536628,0.0346781470599072,2,66112,0.0302516940948693,3,3826525,0.0007840011499,0.016428460576169125
Kieffer & Lesaux (2008),85,Target,grow,41,199877,0.205126152583839,775,5536628,0.1399768956845213,2,66112,0.0302516940948693,331,3826525,0.0865014602,0.11546405064080739
Kieffer & Lesaux (2008),86,Input,dryer,0,199877,0.0,63,5536628,0.011378767004032,0,66112,0.0,50,3826525,0.01306668583,0.006111363208508001
Kieffer & Lesaux (2008),86,Target,dry,19,199877,0.0950584609534864,781,5536628,0.1410605877801434,5,66112,0.0756292352371732,446,3826525,0.1165548376,0.10707578039270076
Kieffer & Lesaux (2008),87,Input,width,0,199877,0.0,26,5536628,0.0046959990810291,0,66112,0.0,0,3826525,0.0,0.001173999770257275
Kieffer & Lesaux (2008),87,Target,wide,39,199877,0.1951199987992615,787,5536628,0.1421442798757655,1,66112,0.0151258470474346,175,3826525,0.04573340041,0.0995308815331154
